BS_RSRP,BS_SINR
-81.40111540330032,4.201608542167477
-79.8133583749056,8.938086240031772
-75.54072187130897,10.408669037112247
-78.72445020538325,9.439636680060332
-77.5545299578416,11.002886226332713
-79.0741313388315,7.411021935861163
-74.94183262444338,12.485280212753008
-77.1408700239228,10.816767337180558
-77.5830120756158,10.438753711470596
-78.79005165364819,8.541422730990089
-74.64097515834425,11.128076973390266
-76.02487242526387,10.653363144001698
-75.83185199225402,9.345607098499475
-73.92634510978783,12.008037214207079
-76.98705087981779,7.7917723227066835
-76.71591937721968,7.425513775323673
-71.9662318228318,14.169085682749873
-70.07532017792009,15.422292821631732
-69.99775598562405,15.751406379063953
-73.8417696932942,12.52808312584971
-72.28070526314497,12.401286827964135
-70.52036587636267,16.055210947743973
-71.57349135971596,15.365165012813645
-70.73680010866191,14.36747452852449
-71.04660067542655,14.968582509536752
-71.96126042389739,13.638300809157375
-68.6270607391044,18.122689360927055
-69.10083545329194,16.668706447666175
-66.5228272578137,18.951930650976838
-68.14017783193648,17.121148473647143
-66.99902605258174,18.745642919470885
-66.25373583318931,20.383367613621736
-61.71499075786363,23.426742795784158
-65.00066164128239,20.62838304133654
-64.31117808819292,20.708610821990163
-63.67633284778104,22.693560816724208
-58.12595149511384,26.45695282546507
-62.334436408816345,23.103784712917346
-57.81700852185128,28.20077158232018
-54.21844148491142,30.66601538876928
-54.725949722338555,30.48639512702135
-54.66736505944469,30.77301857890664
-53.566931262476444,31.985648992035827
-51.722905638132175,32.11716081751446
-50.22750609456703,34.615612295463045
-47.37933828739418,36.957387281494675
-41.99453804324477,43.48102278096487
-44.26857166344519,41.45648525619197
-41.13907079410545,44.276257636570094
-43.00511563912596,40.66758166395644
-42.75920364214814,43.94479792612826
-40.45754971805721,44.69096636763767
-38.87041035985965,46.32556589823656
-45.71957596983556,39.995507664581254
-45.52667203885672,37.407487179708056
-51.587797682647675,31.995789973546273
-48.36851073767173,35.75947579173537
-54.14612909344784,32.145880659647055
-50.31723973472572,33.25592501740826
-53.69019633894625,29.522350874113947
-57.69759073770285,25.968074420408676
-56.90536078454102,27.646587285869018
-54.05510189119835,30.17509717634557
-60.02149990447913,24.044745884798658
-58.696287737590836,25.086113588929763
-62.31756024021284,20.99034596052566
-62.95719803780156,18.68916889443868
-61.969032490010704,23.24993428697681
-66.10012110566504,16.551542693795703
-61.9856213231332,22.44936300325568
-63.56682677073643,20.416613028959503
-67.68214382455407,15.920084024848286
-68.15963228107984,15.8761500507967
-71.88608191371031,11.465041676463809
-68.2403324802764,17.254634797976944
-67.63547647603514,15.137337356054948
-70.75413627691647,12.715815486248358
